"cmd","args","speaker","emotion","text","direction"
"MUSICTRACK","SQ_S13_LoreText_Ch01_Music_03","","","",""
"t","","mirage","surprised","#MISSION_01_15","r"
"b","","wraith","neutral","#MISSION_01_16","l"
"","","","","",""
"c","","narrator","","#MISSION_01_17",""
"","","","","",""
"t","","bangalore","angry","#MISSION_01_18","r"
"b","","newcastle","angry","#MISSION_01_19","l"
"PLAYSOUND","SQ_S13_LoreText_Ch01_Stinger_06 BOTTOM","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_07 BOTTOM","","","",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_14","","","",""
"t","","mirage","surprised","#MISSION_01_20","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_Stinger_07","","","",""
"c","","narrator","","#MISSION_01_21",""
"","","","","",""
"c","","narrator","","#MISSION_01_22",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_Stinger_03","","","",""
"c","","narrator","","#MISSION_01_23",""
"","","","","",""
"c","","narrator","","#MISSION_01_24",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_SFX_PhoneRing","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_08","","","",""
"t","","newcastle","sad","#MISSION_01_25","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_16","","","",""
"t","","mirage","surprised","#MISSION_01_26","r"
"b","","wraith","neutral","#MISSION_01_27","l"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_Stinger_08","","","",""
"t","","mirage","neutral","#MISSION_01_28","r"
"b","","wraith","neutral","#MISSION_01_29","l"
"","","","","",""
"c","","narrator","","#MISSION_01_30",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_SFX_PhoneRingButtonClick","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_09","","","",""
"c","","narrator","","#MISSION_01_31",""
"","","","","",""
"MUSICTRACK","SQ_S13_LoreText_Ch01_Music_04","","","",""
"t","","newcastle","neutral","#MISSION_01_32","r"
"","","","","",""
"t","","newcastle","neutral","#MISSION_01_33","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_SFX_PhoneHangUpNewcastleExit","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_SFX_MirageCloakingDeactivate","","","",""
"c","","narrator","","#MISSION_01_34",""
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_10","","","",""
"t","","mirage","surprised","#MISSION_01_35","r"
"b","","wraith","neutral","#MISSION_01_36","l"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_11","","","",""
"t","","wraith","angry","#MISSION_01_37","r"
"b","","mirage","neutral","#MISSION_01_38","l"
"PLAYSOUND","SQ_S13_LoreText_Ch01_Stinger_09 BOTTOM","","","",""
"","","","","",""
"t","","wraith","neutral","#MISSION_01_39","r"
"b","","mirage","surprised","#MISSION_01_40","l"
"","","","","",""
"t","","wraith","neutral","#MISSION_01_41","r"
"","","","","",""
"t","","wraith","neutral","#MISSION_01_42","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_12","","","",""
"t","","wraith","angry","#MISSION_01_43","r"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_Stinger_02","","","",""
"t","","wraith","neutral","#MISSION_01_44","r"
"","","","","",""
"t","","mirage","neutral","#MISSION_01_45","r"
"b","","wraith","happy","#MISSION_01_46","l"
"PLAYSOUND","SQ_S13_LoreText_Ch01_VO_13 BOTTOM","","","",""
"","","","","",""
"t","","mirage","neutral","#MISSION_01_47","r"
"","","","","",""
"t","","mirage","neutral","#MISSION_01_48","r"
"b","","wraith","neutral","#MISSION_01_49","l"
"","","","","",""
"PLAYSOUND","SQ_S13_LoreText_Ch01_Stinger_04","","","",""
"c","","narrator","","#MISSION_01_50",""
"","","","","",""
"c","","narrator","","#MISSION_01_NEXT",""
"string","string","string","string","string","string"
