"cmd","args","speaker","text","emotion","direction"
"t","","wattson","#MISSION_06_14","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_06 BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_04 BOTTOM","","","",""
"b","","ash","#MISSION_06_15","angry","l"
"","","","","",""
"t","","wattson","#MISSION_06_16","neutral","r"
"b","","ash","#MISSION_06_17","angry","l"
"","","","","",""
"t","","wattson","#MISSION_06_18","fearful","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_07","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_05","","","",""
"b","","ash","#MISSION_06_19","happy","l"
"","","","","",""
"t","","ash","#MISSION_06_20","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_08","","","",""
"","","","","",""
"t","","ash","#MISSION_06_21","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_SwordReady","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_06","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_09 BOTTOM","","","",""
"b","","wattson","#MISSION_06_22","fearful","l"
"","","","","",""
"t","","ash","#MISSION_06_23","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_SwordSwing","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_10 BOTTOM","","","",""
"b","","wattson","#MISSION_06_24","surprised","l"
"","","","","",""
"t","","ash","#MISSION_06_25","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_07","","","",""
"","","","","",""
"t","","ash","#MISSION_06_26","neutral","r"
"","","","","",""
"t","","ash","#MISSION_06_27","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_11","","","",""
"","","","","",""
"t","","ash","#MISSION_06_28","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_08 BOTTOM","","","",""
"b","","wattson","#MISSION_06_29","fearful","l"
"","","","","",""
"","MUSIC TURN: Rising tension","","","",""
"","","","","",""
"c","","narrator","#MISSION_06_30","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_Lightning_03","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch06_Music_04","","","",""
"","","","","",""
"t","","ash","#MISSION_06_31","angry","r"
"","","","","",""
"c","","narrator","#MISSION_06_32","",""
"","","","","",""
"c","","narrator","#MISSION_06_33","",""
"","","","","",""
"t","","wattson","#MISSION_06_34","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_WattsonReady","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_12","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_09","","","",""
"b","","ash","#MISSION_06_35","sad","l"
"","","","","",""
"t","","ash","#MISSION_06_36","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_15","","","",""
"","","","","",""
"t","","ash","#MISSION_06_37","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_11","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch06_Music_05","","","",""
"","","","","",""
"","MUSIC TURN: Climax!","","","",""
"c","","narrator","#MISSION_06_38","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_Lightning_02","","","",""
"","","","","",""
"c","","narrator","#MISSION_06_39","",""
"","","","","",""
"c","","narrator","#MISSION_06_40","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_10","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_AshRush","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_SwordSwing_02","","","",""
"","","","","",""
"c","","narrator","#MISSION_06_41","",""
"","","","","",""
"c","","narrator","#MISSION_06_42","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_13","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_WaterSplash","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch06_Music_06","","","",""
"","","","","",""
"t","","wattson","#MISSION_06_43","surprised","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_WaterRise","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_14","","","",""
"","","","","",""
"","MUSIC TURN: Tension decreases, dread returns. Wattson is safe, but for how long?","","","",""
"","","","","",""
"c","","narrator","#MISSION_06_44","",""
"MUSICTRACK","SQ_S11_LoreText_Ch06_Music_07","","","",""
"","","","","",""
"c","","narrator","#MISSION_06_45","",""
"","","","","",""
"c","","narrator","#MISSION_06_46","",""
"","","","","",""
"c","","narrator","#MISSION_06_47","",""
"","","","","",""
"c","","narrator","#MISSION_06_48","",""
"MUSICTRACK","SQ_S11_LoreText_Ch06_Music_08","","","",""
"","","","","",""
"t","","ash","#MISSION_06_49","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_17","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_SFX_12","","","",""
"","","","","",""
"c","","narrator","#MISSION_06_50","",""
"PLAYSOUND","SQ_S11_LoreText_Ch06_VO_18","","","",""
"","","","","",""
"c","","narrator","#MISSION_06_51","",""
"","","","","",""
"c","","narrator","#MISSION_06_52","",""
"","","","","",""
"c","","","#MISSION_06_NEXT","",""
"string","string","string","string","string","string"
