"featureFlag","weaponRef","attachmentOverride","availableOptics","defaultOptic","supportedAttachmentOverride"
"xx","mp_weapon_wingman_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat","optic_cq_hcog_bruiser",""
"xx","mp_weapon_wingman_purpleset","","","",""
"xx","mp_weapon_wingman_gold","","","",""
"xx","mp_weapon_shotgun","","","",""
"xx","mp_weapon_shotgun_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_shotgun_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat","optic_cq_threat",""
"xx","mp_weapon_shotgun_purpleset","","","",""
"xx","mp_weapon_shotgun_gold","","","",""
"xx","mp_weapon_alternator_smg","","","",""
"xx","mp_weapon_alternator_smg_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_alternator_smg_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat","optic_cq_threat",""
"xx","mp_weapon_alternator_smg_purpleset","","","",""
"xx","mp_weapon_alternator_smg_gold","","","",""
"xx","mp_weapon_mastiff","","","",""
"xx","mp_weapon_mastiff_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_mastiff_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat","",""
"xx","mp_weapon_mastiff_purpleset","","","optic_cq_threat",""
"xx","mp_weapon_mastiff_gold","","","",""
"xx","mp_weapon_energy_shotgun","","","",""
"xx","mp_weapon_energy_shotgun_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_energy_shotgun_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat","",""
"xx","mp_weapon_energy_shotgun_purpleset","","","optic_cq_threat",""
"xx","mp_weapon_energy_shotgun_gold","","","",""
"xx","mp_weapon_volt_smg","","","",""
"xx","mp_weapon_volt_smg_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_volt_smg_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat","",""
"xx","mp_weapon_volt_smg_purpleset","","","optic_cq_threat",""
"xx","mp_weapon_volt_smg_gold","","","",""
"xx","mp_weapon_pdw","","","",""
"xx","mp_weapon_pdw_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_pdw_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat","",""
"xx","mp_weapon_pdw_purpleset","","","optic_cq_threat",""
"xx","mp_weapon_pdw_gold","","","",""
"xx","mp_weapon_r97","","","",""
"xx","mp_weapon_r97_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_r97_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat","",""
"xx","mp_weapon_r97_purpleset","","","optic_cq_threat",""
"xx","mp_weapon_r97_gold","","","",""
"xx","mp_weapon_car","","","",""
"xx","mp_weapon_car_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_car_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat","",""
"xx","mp_weapon_car_purpleset","","","optic_cq_threat",""
"xx","mp_weapon_car_gold","","","",""
"xx","mp_weapon_lmg","","","",""
"xx","mp_weapon_lmg_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_lmg_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog","optic_cq_hcog_bruiser",""
"xx","mp_weapon_lmg_purpleset","","optic_ranged_aog_variable","optic_ranged_aog_variable",""
"xx","mp_weapon_lmg_gold","","","",""
"xx","mp_weapon_esaw","","","",""
"xx","mp_weapon_esaw_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_esaw_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog","optic_cq_hcog_bruiser",""
"xx","mp_weapon_esaw_purpleset","","optic_ranged_aog_variable","optic_ranged_aog_variable",""
"xx","mp_weapon_esaw_gold","","","",""
"xx","mp_weapon_lstar","","","",""
"xx","mp_weapon_lstar_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_lstar_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog","optic_cq_hcog_bruiser",""
"xx","mp_weapon_lstar_purpleset","","optic_ranged_aog_variable","optic_ranged_aog_variable",""
"xx","mp_weapon_lstar_gold","","","",""
"xx","mp_weapon_dragon_lmg","","","",""
"xx","mp_weapon_dragon_lmg_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_dragon_lmg_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog","optic_cq_hcog_bruiser",""
"xx","mp_weapon_dragon_lmg_purpleset","","optic_ranged_aog_variable","optic_ranged_aog_variable",""
"xx","mp_weapon_dragon_lmg_gold","","","",""
"xx","mp_weapon_energy_ar","","","",""
"xx","mp_weapon_energy_ar_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_energy_ar_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog","optic_cq_hcog_bruiser",""
"xx","mp_weapon_energy_ar_purpleset","","optic_ranged_aog_variable","",""
"xx","mp_weapon_energy_ar_gold","","","",""
"xx","mp_weapon_vinson","","","",""
"xx","mp_weapon_vinson_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_vinson_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog","optic_cq_hcog_bruiser",""
"xx","mp_weapon_vinson_purpleset","","optic_ranged_aog_variable","",""
"xx","mp_weapon_vinson_gold","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","!!DATA EXCLUDED!!",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"xx","mp_weapon_rspn101","","","",""
"xx","mp_weapon_rspn101_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_rspn101_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog","optic_cq_hcog_bruiser",""
"xx","mp_weapon_rspn101_purpleset","","optic_ranged_aog_variable","",""
"xx","mp_weapon_rspn101_gold","","","",""
"xx","mp_weapon_nemesis","","","",""
"xx","mp_weapon_nemesis_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_nemesis_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog","optic_cq_hcog_bruiser",""
"xx","mp_weapon_nemesis_purpleset","","optic_ranged_aog_variable","",""
"xx","mp_weapon_nemesis_gold","","","",""
"xx","mp_weapon_g2","","","",""
"xx","mp_weapon_g2_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_g2_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_ranged_hcog",""
"xx","mp_weapon_g2_purpleset","","","optic_ranged_aog_variable",""
"xx","mp_weapon_g2_gold","","","",""
"xx","mp_weapon_3030","","","",""
"xx","mp_weapon_3030_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_3030_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_ranged_hcog",""
"xx","mp_weapon_3030_purpleset","","","optic_ranged_aog_variable",""
"xx","mp_weapon_3030_gold","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"xx","mp_weapon_dmr","","optic_cq_hcog_classic","optic_cq_hcog_classic",""
"xx","mp_weapon_dmr_whiteset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_sniper","optic_sniper",""
"xx","mp_weapon_dmr_blueset","","optic_ranged_hcog optic_ranged_aog_variable optic_sniper_variable optic_sniper_threat","optic_sniper_variable",""
"xx","mp_weapon_dmr_purpleset","","","optic_sniper_threat",""
"xx","mp_weapon_dmr_gold","","","",""
"xx","mp_weapon_sentinel","","optic_cq_hcog_classic","optic_cq_hcog_classic",""
"xx","mp_weapon_sentinel_whiteset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_sniper","optic_sniper",""
"xx","mp_weapon_sentinel_blueset","","optic_ranged_hcog optic_ranged_aog_variable optic_sniper_variable optic_sniper_threat","optic_sniper_variable",""
"xx","mp_weapon_sentinel_purpleset","","","optic_sniper_threat",""
"xx","mp_weapon_sentinel_gold","","","",""
"xx","mp_weapon_doubletake","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"xx","mp_weapon_doubletake_whiteset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_ranged_hcog",""
"xx","mp_weapon_doubletake_blueset","","","optic_ranged_aog_variable",""
"xx","mp_weapon_doubletake_purpleset","","","",""
"xx","mp_weapon_doubletake_gold","","","",""
"xx","mp_weapon_defender","","optic_cq_hcog_classic","optic_cq_hcog_classic",""
"xx","mp_weapon_defender_whiteset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_sniper","optic_sniper",""
"xx","mp_weapon_defender_blueset","","optic_ranged_hcog optic_ranged_aog_variable optic_sniper_variable optic_sniper_threat","optic_sniper_variable",""
"xx","mp_weapon_defender_purpleset","","","optic_sniper_threat",""
"xx","mp_weapon_defender_gold","","","",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","!!DATA EXCLUDED!!",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","","",""
"string","string","string","string","string","string"
