"cmd","args","speaker","text","emotion","direction"
"MUSICTRACK","SQ_S11_LoreText_Ch04_Music_04","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_13","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_CrateOpen","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_14","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_SwordPickup","","","",""
"","","","","",""
"t","","ash","#MISSION_04_15","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_05","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_HorizonSneak_02","","","",""
"","","","","",""
"t","","horizon","#MISSION_04_16","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_06","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_06","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch04_Music_05","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_17","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_HorizonReady","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_18","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_07","","","",""
"","","","","",""
"t","","horizon","#MISSION_04_19","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_07","","","",""
"","","","","",""
"t","","horizon","#MISSION_04_20","sad","r"
"","","","","",""
"t","","horizon","#MISSION_04_21","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_08","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_08","","","",""
"b","","ash","#MISSION_04_22","happy","l"
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_09 BOTTOM","","","",""
"","","","","",""
"t","","ash","#MISSION_04_23","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_09","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_SwordPickup","","","",""
"b","","leigh","#MISSION_04_24","fearful","l"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshGlitch BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_10 BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_15 BOTTOM","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch04_Music_06","","","",""
"","","","","",""
"t","","leigh","#MISSION_04_25","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshGlitch","","","",""
"","","","","",""
"t","","leigh","#MISSION_04_26","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshGlitch","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_SwordDrop","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_11","","","",""
"b","","ash","#MISSION_04_27","fearful","l"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_12 BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_10 BOTTOM","","","",""
"","","","","",""
"t","","ash","#MISSION_04_28","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_11","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshFall","","","",""
"","","","","",""
"t","","horizon","#MISSION_04_29","surprised","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_13","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_13","","","",""
"b","","ash","#MISSION_04_30","fearful","l"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshGlitchBig BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshGlitch BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshScream BOTTOM","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_31","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_17","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_32","",""
"","","","","",""
"t","","horizon","#MISSION_04_33","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_12","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_15","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_34","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_SwordPickup_02","","","",""
"","","","","",""
"t","","leigh","#MISSION_04_35","surprised","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshGlitch","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_16","","","",""
"","","","","",""
"t","","leigh","#MISSION_04_36","fearful","r"
"","","","","",""
"t","","horizon","#MISSION_04_37","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_14","","","",""
"b","","leigh","#MISSION_04_38","fearful","l"
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_AshGlitch BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_VO_17 BOTTOM","","","",""
"","","","","",""
"c","","narrator","#MISSION_04_39","",""
"","","","","",""
"c","","narrator","#MISSION_04_40","",""
"","","","","",""
"c","","narrator","#MISSION_04_41","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_16","","","",""
"","","","","",""
"c","","","#MISSION_04_NEXT","",""
"string","string","string","string","string","string"
