"cmd","args","speaker","text","emotion","direction"
"t","","wattson","#MISSION_03_13","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_09 BOTTOM","","","",""
"b","","crypto","#MISSION_03_14","happy","l"
"","","","","",""
"t","","horizon","#MISSION_03_15","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_11","","","",""
"b","","crypto","#MISSION_03_16","happy","l"
"","","","","",""
"t","","crypto","#MISSION_03_17","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_10","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch03_Music_03","","","",""
"","","","","",""
"c","","narrator","#MISSION_03_18","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_DroneRoam","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_CryptoSteps","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_WattsonSteps","","","",""
"","","","","",""
"c","","narrator","#MISSION_03_19","",""
"","","","","",""
"c","","narrator","#MISSION_03_20","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_06","","","",""
"","","","","",""
"t","","wattson","#MISSION_03_21","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_12","","","",""
"","","","","",""
"t","","wattson","#MISSION_03_22","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_07","","","",""
"","","","","",""
"c","","narrator","#MISSION_03_23","",""
"","","","","",""
"t","","crypto","#MISSION_03_24","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_13","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_14 BOTTOM","","","",""
"b","","wattson","#MISSION_03_25","neutral","l"
"","","","","",""
"","","","","",""
"t","","crypto","#MISSION_03_26","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_DroneScan","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_08","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_15","","","",""
"b","","wattson","#MISSION_03_27","neutral","l"
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_MetalPickup","","","",""
"","","","","",""
"t","","wattson","#MISSION_03_28","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_09","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_16","","","",""
"","","","","",""
"t","","wattson","#MISSION_03_29","neutral","r"
"","","","","",""
"t","","wattson","#MISSION_03_30","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_17","","","",""
"","","","","",""
"","MUSIC TURN: Enemy approaches/Anxiety","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_DroneScanUrgent","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_10","","","",""
"","","","","",""
"t","","crypto","#MISSION_03_31","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_CryptoGunRaise","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_11","","","",""
"","","","","",""
"c","","narrator","#MISSION_03_32","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_AshAttack","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_27","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch03_Music_04","","","",""
"","","","","",""
"c","","narrator","#MISSION_03_33","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_BulletBlock","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_AshRun","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_SwordPoint","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_26","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_11","","","",""
"","","","","",""
"c","","narrator","#MISSION_03_34","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_12","","","",""
"","","","","",""
"t","","wattson","#MISSION_03_35","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_19","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_13","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_20 BOTTOM","","","",""
"b","","crypto","#MISSION_03_36","angry","l"
"","","","","",""
"c","","narrator","#MISSION_03_37","",""
"","","","","",""
"t","","ash","#MISSION_03_38","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_21","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_SwordSheathe","","","",""
"","","","","",""
"t","","ash","#MISSION_03_39","neutral","r"
"MUSICTRACK","SQ_S11_LoreText_Ch03_Music_05","","","",""
"","","","","",""
"t","","ash","#MISSION_03_40","neutral","r"
"","","","","",""
"t","","ash","#MISSION_03_41","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_22","","","",""
"","","","","",""
"c","","narrator","#MISSION_03_42","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_14","","","",""
"","","","","",""
"t","","wattson","#MISSION_03_43","surprised","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_23","","","",""
"","","","","",""
"t","","wattson","#MISSION_03_44","surprised","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_24 BOTTOM","","","",""
"b","","ash","#MISSION_03_45","neutral","l"
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_AshLeave","","","",""
"","","","","",""
"t","","wattson","#MISSION_03_46","fearful","r"
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_15","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_VO_25 BOTTOM","","","",""
"b","","crypto","#MISSION_03_47","angry","l"
"","","","","",""
"c","","narrator","#MISSION_03_48","",""
"PLAYSOUND","SQ_S11_LoreText_Ch03_SFX_16","","","",""
"","","","","",""
"c","","","#MISSION_03_NEXT","",""
"string","string","string","string","string","string"
