"cmd","args","speaker","text","emotion","direction"
"MUSICTRACK","SQ_S11_LoreText_Ch02_Music_03","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_06","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_13 BOTTOM","","","",""
"b","","pathfinder","#MISSION_02_18","neutral","l"
"","","","","",""
"t","","pathfinder","#MISSION_02_19","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_06","","","",""
"","","","","",""
"t","","pathfinder","#MISSION_02_20","neutral","r"
"","","","","",""
"t","","ash","#MISSION_02_21","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_15","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_07 BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_14 BOTTOM","","","",""
"b","","pathfinder","#MISSION_02_22","neutral","l"
"","","","","",""
"t","","ash","#MISSION_02_23","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_19","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_07 BOTTOM","","","",""
"b","","pathfinder","#MISSION_02_24","happy","l"
"","","","","",""
"c","","narrator","#MISSION_02_25","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_PathHiFive","","","",""
"","","","","",""
"c","","narrator","#MISSION_02_26","",""
"","","","","",""
"t","","ash","#MISSION_02_27","neutral","r"
"","","","","",""
"t","","ash","#MISSION_02_28","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_08","","","",""
"","","","","",""
"c","","narrator","#MISSION_02_29","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_AshLeave","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_08","","","",""
"","","","","",""
"t","","pathfinder","#MISSION_02_30","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_PathLoFive","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_16","","","",""
"","","","","",""
"b","","gibraltar","#MISSION_02_31","neutral_serious","l"
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_GibbyMove","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_09","","","",""
"","","","","",""
"t","","pathfinder","#MISSION_02_32","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_09","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_17","","","",""
"","","","","",""
"t","","pathfinder","#MISSION_02_33","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch02_VO_18","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_11 BOTTOM","","","",""
"b","","gibraltar","#MISSION_02_34","neutral_serious","l"
"","","","","",""
"c","","narrator","#MISSION_02_35","",""
"PLAYSOUND","SQ_S11_LoreText_Ch02_SFX_10","","","",""
"","","","","",""
"c","","","#MISSION_02_NEXT","",""
"string","string","string","string","string","string"
