"featureFlag","name","alias","priority","perspective","canPlayIfSolo","legendFlavors","radioDisplayName","team","radioIntercept","vduVideo","dialogue"
"xx","bc_firstBlood","diag_mp_%voice%_bc_firstBlood_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_circleTimerStartFinal","diag_mp_%voice%_bc_circleTimerStartFinal_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_circleClosingFinal","diag_mp_%voice%_bc_circleClosingFinal_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_droppingCarePack","diag_mp_%voice%_bc_droppingCarePack_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_squadsLeft2","diag_mp_%voice%_bc_squadsLeft2_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_squadsLeft3","diag_mp_%voice%_bc_squadsLeft3_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_squadsLeftHalf","diag_mp_%voice%_bc_squadsLeftHalf_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_nextCircleFar","diag_mp_%voice%_bc_nextCircleFar_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_insideNextCircle","diag_mp_%voice%_bc_insideNextCircle_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_twoSquaddiesLeft","diag_mp_%voice%_bc_twoSquaddiesLeft_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_championEliminated","diag_mp_%voice%_bc_championEliminated_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_killLeaderNew","diag_mp_%voice%_bc_killLeaderNew_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_iKilledFlyer","diag_mp_%voice%_bc_iKilledFlyer_%perspective%",10,"",false,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_gotFriendlyBanner","diag_mp_%voice%_bc_gotFriendlyBanner_%perspective%",25,"",true,"","","",false,"",""
"xx","bc_returnFromRespawn","diag_mp_%voice%_bc_returnFromRespawn_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_squadmateBecomesKillLeader","diag_mp_%voice%_bc_squadmateBecomesKillLeader_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_iBecomeKillLeader","diag_mp_%voice%_bc_iBecomeKillLeader_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_weKilledChampion","diag_mp_%voice%_bc_weKilledChampion_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_weKilledKillLeader","diag_mp_%voice%_bc_weKilledKillLeader_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_weTookFirstBlood","diag_mp_%voice%_bc_weTookFirstBlood_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_iDownedAnEnemy","diag_mp_%voice%_bc_iDownedAnEnemy_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_iDownedAnotherEnemy","diag_mp_%voice%_bc_iDownedAnotherEnemy_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_iDownedMultiple","diag_mp_%voice%_bc_iDownedMultiple_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_megaKill","diag_mp_%voice%_bc_megaKill_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_squadTeamWipe","diag_mp_%voice%_bc_squadTeamWipe_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_iKilledAnEnemy","diag_mp_%voice%_bc_iKilledAnEnemy_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_iKilledAnEnemyWithHeirloom","diag_mp_%voice%_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_gameruleschanging","diag_mp_%voice%_bc_gameruleschanging_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_scatteredNag","diag_mp_%voice%_bc_scatteredNag_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_newCircle_wholeSquadNotInCircle","diag_mp_%voice%_bc_newCircle_wholeSquadNotInCircle_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_circleMovesNag1Min_far","diag_mp_%voice%_bc_circleMovesNag1Min_far_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_circleMovesNag45Sec_far","diag_mp_%voice%_bc_circleMovesNag45Sec_far_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_circleMovesNag1Min_close","diag_mp_%voice%_bc_circleMovesNag1Min_close_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_circleMovesNag45Sec_close","diag_mp_%voice%_bc_circleMovesNag45Sec_close_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_circleMovesNag30Sec_close","diag_mp_%voice%_bc_circleMovesNag30Sec_close_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_circleMovesNag10Sec_close","diag_mp_%voice%_bc_circleMovesNag10Sec_close_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_circleMoving_allOutside","diag_mp_%voice%_bc_circleMoving_allOutside_%perspective%",10,"",false,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_tactical","diag_mp_%voice%_bc_tactical_%perspective%",30,"solo_flav",true,"lifeline;rampart","","",false,"",""
"xx","bc_super","diag_mp_%voice%_bc_super_%perspective%",30,"solo_flav",true,"lifeline;rampart;loba","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_bangalore_passive","diag_mp_bangalore_bc_passive_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_bangalore_tacticalAgain","diag_mp_bangalore_bc_tacticalagain_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_wraith_superSet","diag_mp_wraith_bc_superSet_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_pathfinder_passive","diag_mp_pathfinder_bc_passive_%perspective%",30,"",false,"","","",false,"",""
"xx","bc_caustic_passive","diag_mp_caustic_bc_passive_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_caustic_skydiveLaugh","diag_mp_caustic_bc_skydiveLaugh_%perspective%",0,"",true,"","","",false,"",""
"xx","bc_octane_jumppad_launch","diag_mp_octane_bc_jumpPadLaunch_%perspective%",50,"",true,"","","",false,"",""
"xx","bc_wattson_enemyTrippedFenceNear","diag_mp_wattson_bc_enemyTrippedFenceNear_%perspective%",30,"",false,"","","",false,"",""
"xx","bc_wattson_enemyTrippedFenceFar","diag_mp_wattson_bc_enemyTrippedFenceFar_%perspective%",30,"",false,"","","",false,"",""
"xx","bc_wattson_tacticalDone","diag_mp_wattson_bc_tacticalDone_%perspective%",20,"",false,"","","",false,"",""
"xx","bc_droneViewStart","diag_mp_crypto_bc_droneviewstart_calm_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_droneViewEnd","diag_mp_crypto_bc_droneviewEnd_calm_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_droneRecall","diag_mp_crypto_bc_dronerecall_calm_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_empHitby","diag_mp_%voice%_bc_emphitby_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_empWarning","diag_mp_%voice%_bc_empwarning_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_droneDestroyed","diag_mp_crypto_bc_droneElimMine_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_loba_black_market_friendly_took_loot_calm","diag_mp_loba_bc_blackMarketSquadLoot_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_loba_black_market_friendly_took_loot_urgent","diag_mp_loba_bc_blackMarketSquadLootCombat_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_lootingEnemySquad","diag_mp_loba_bc_lootingEnemySquad_%perspective%",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"xx","bc_mirage_winterReply","diag_mp_mirage_bc_expSeasonsGreetingsReply_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_rampart_picksUpLMG","diag_mp_rampart_bc_picksuplmg_%perspective%",20,"",true,"","","",false,"",""
"xx","bc_rampart_picksUpNemesis","diag_mp_rampart_bc_picksUpNemesis_%perspective%",20,"",true,"","","",false,"",""
"xx","bc_rampart_getOnHMG","diag_mp_rampart_bc_superu1_%perspective%",15,"",true,"","","",false,"",""
"xx","bc_rampart_clipHalfFull","diag_mp_rampart_bc_superu2_%perspective%",15,"",true,"","","",false,"",""
"xx","bc_rampart_sustainedFire","diag_mp_rampart_bc_superu3_%perspective%",15,"",true,"","","",false,"",""
"xx","bc_rampart_coverPackedUp","diag_mp_rampart_bc_coverPackedUp_%perspective%",35,"",true,"","","",false,"",""
"xx","bc_rampart_coverDestroyed","diag_mp_rampart_bc_coverDestroyed_%perspective%",35,"solo",true,"","","",false,"",""
"xx","bc_rampart_turretPackedUp","diag_mp_rampart_bc_turretPackedUp_%perspective%",35,"solo",true,"","","",false,"",""
"xx","bc_rampart_turretDestroyed","diag_mp_rampart_bc_turretDestroyed_%perspective%",35,"solo",true,"","","",false,"",""
"xx","bc_horizon_passive","diag_mp_horizon_bc_passive_%perspective%",30,"",true,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_droppingReplicator","diag_mp_%voice%_bc_droppingReplicator_%perspective%",10,"",true,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_tridentEnter","diag_mp_%voice%_bc_tridentEnter_%perspective%",10,"solo",true,"","","",false,"",""
"xx","bc_tridentExit","diag_mp_%voice%_bc_tridentExit_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_tridentJoin","diag_mp_%voice%_bc_tridentJoin_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_tridentEnter_Solo","diag_mp_%voice%_bc_tridententer_solo",10,"",true,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_cargoBotDamaged","diag_mp_%voice%_bc_cargoBotDamaged_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_vaultKeyGot","diag_mp_%voice%_bc_vaultKeyGot_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_vaultOpened","diag_mp_%voice%_bc_vaultOpened_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_totemDestroyed","diag_mp_%voice%_bc_totemdestroyed_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_totemReturn","diag_mp_%voice%_bc_totemreturn_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_abilitiesBlocked","diag_mp_%voice%_bc_abilitiesblocked_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_reviveSelf","diag_mp_%voice%_bc_reviveself_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_surveyBeaconScanCrypto","diag_mp_crypto_bc_surveybeaconscan_%perspective%",30,"solo",true,"","","",false,"",""
"xx","bc_surveyBeaconScanBloodhound","diag_mp_bloodhound_bc_surveybeaconscan_%perspective%",30,"solo",true,"","","",false,"",""
"xx","bc_surveyBeaconScanValkyrie","diag_mp_valkyrie_bc_surveybeaconscan_%perspective%",30,"solo",true,"","","",false,"",""
"xx","bc_surveyBeaconScanSeer","diag_mp_seer_bc_surveybeaconscan_%perspective%",30,"solo",true,"","","",false,"",""
"xx","bc_tacticalTaunt","diag_mp_mirage_bc_tacticalTaunt_%perspective%",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",0,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",0,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",10,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"xx","bc_happyHaloween","diag_mp_%voice%_bc_seasonaltrickortreat_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_shRoyaleMidMatch","diag_mp_%voice%_bc_shRoyaleMidMatch_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_droppingHolospray","diag_mp_%voice%_bc_droppingHolospray_%perspective%",10,"",true,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_explosiveHold","diag_mp_%voice%_bc_explosiveHold_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_ttPAReact","diag_mp_caustic_bc_ttPAReact_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_valk_passive","diag_mp_valkyrie_bc_passive_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_valk_tactical","diag_mp_valkyrie_bc_tactical_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_valk_ult_boarding","diag_mp_valkyrie_bc_superAlert_%perspective%",31,"",true,"","","",false,"",""
"xx","bc_valk_ult_launching","diag_mp_valkyrie_bc_super_%perspective%",31,"",true,"","","",false,"",""
"xx","bc_valk_ult_done","diag_mp_valkyrie_bc_superComplete_%perspective%",31,"",true,"","","",false,"",""
"xx","bc_valk_ult_TD","diag_mp_valkyrie_bc_superLanding_%perspective%",31,"",true,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_crafting","diag_mp_%voice%_bc_crafting_%perspective%",10,"",false,"","","",false,"",""
"xx","bc_locationOSC_lifeline","diag_mp_lifeline_bc_locationOSC_01_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_locationOSC_bloodhound","diag_mp_bloodhound_bc_locationOSC_01_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_locationOSC_caustic","diag_mp_caustic_bc_locationOSC_01_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_keyCardGot","diag_mp_%voice%_bc_keyCardGot_%perspective%",10,"",true,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_ash_passive_onUse","diag_mp_ash_bc_passive_%perspective%",20,"",true,"","","",false,"",""
"xx","bc_ash_passive_ally_died","diag_mp_ash_bc_passiveDeath_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_ash_tactical_onHit","diag_mp_ash_bc_tacticalHitEnemy_%perspective%",31,"",true,"","","",false,"",""
"xx","bc_ash_ultimate_onUse","diag_mp_ash_bc_super_%perspective%",30,"",true,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",30,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",31,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",31,"",true,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_mirage_rrtReactMSign","diag_mp_mirage_bc_rttReactMSign_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_rampart_rrtReactPortrait","diag_mp_rampart_bc_rttReactPortrait_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_rampart_rrtReactSign","diag_mp_rampart_bc_rttReactSign_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_rampart_rrtReactSister","diag_mp_rampart_bc_rttReactSister_%perspective%",30,"",true,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_hackingArmory","diag_mp_%voice%_bc_armoryHack_%perspective%",30,"",true,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_usingPhaseDriver","diag_mp_%voice%_bc_usingMapToyOLMU2_%perspective%",31,"",true,"","","",false,"",""
"xx","bc_imSnared","diag_mp_%voice%_bc_imSnared_%perspective%",30,"",false,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_control_bountyCaptured","diag_mp_%voice%_bc_ctrlcapturebonusgot_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_bountyLost","diag_mp_%voice%_bc_ctrlcapturebonuslost_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_areBehind","diag_mp_%voice%_bc_ctrlScoreAreBehind_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_scoreHalfLoss","diag_mp_%voice%_bc_ctrlScoreHalfLose_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_scoreHalfWin","diag_mp_%voice%_bc_ctrlScoreHalfWin_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_scoreNearLoss","diag_mp_%voice%_bc_ctrlScoreNearLoss_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_scoreNearWin","diag_mp_%voice%_bc_ctrlScoreNearWin_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_scoreInLead","diag_mp_%voice%_bc_ctrlScoreInLead_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_capturedFriendly","diag_mp_%voice%_bc_ctrlZoneCapturedFriendly_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_capturedEnemy","diag_mp_%voice%_bc_ctrlZoneCapturedEnemy_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_neutralizedFriendly","diag_mp_%voice%_bc_ctrlZoneNeutralizedFriendly_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_neutralizedEnemy","diag_mp_%voice%_bc_ctrlZoneNeutralizedEnemy_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_iBecomeRatingsLeader","diag_mp_%voice%_bc_iBecomeRatingsLeader_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_squadmatesBecomesRatingsLeader","diag_mp_%voice%_bc_squadmateBecomesRatingsLeader_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_sponsorshipReact_character_madmaggie","diag_mp_madmaggie_bc_ctrlSponsorReact_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_sponsorshipReact_character_lifeline","diag_mp_lifeline_bc_ctrlSponsorReact_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_control_sponsorshipReact_character_octane","diag_mp_octane_bc_ctrlSponsorReact_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_ctrlLockoutBeginAdvantage","diag_mp_%voice%_bc_ctrlLockoutBeginAdvantage_%perspective%",10,"",true,"","","",false,"",""
"xx","bc_ctrlLockoutBeginDisadvantage","diag_mp_%voice%_bc_ctrlLockoutBeginDisadvantage_%perspective%",10,"",true,"","","",false,"",""
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",10,"",false,"","","",false,"",""
"xx","","",0,"",false,"","","",false,"",""
"xx","bc_supplyBinExtendedOpened","diag_mp_%voice%_bc_supplyBinExtendedOpened_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_supplyBinWeaponOpened","diag_mp_%voice%_bc_supplyBinWeaponOpened_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_revealEnemyPosition","diag_mp_%voice%_bc_revealEnemyPosition_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_revealNextCarePackage","diag_mp_%voice%_bc_revealNextCarePackage_%perspective%",30,"",true,"","","",false,"",""
"xx","bc_revealNextRingLocation","diag_mp_%voice%_bc_revealNextRingLocation_%perspective%",30,"",true,"","","",false,"",""
"string","string","string","int","string","bool","string","string","string","bool","asset_noprecache","string"
