"featureFlag","name","alias","priority","radioDisplayName","team","radioIntercept","vduVideo","dialogue"
"","Training_Ping3","diag_mp_trPinging_03_50_bloodhound_3p",0,"Bloodhound","",false,"","Follow the checklist to cycle through your Pings."
"","Training_Ping_Complete","diag_mp_trpinging_06_50_bloodhound_3p",0,"Bloodhound","",false,"","The Allfather blesses you. Pathfinder will continue your training. I will see you again my felagi fighter - we may even shed bloth together."
"","Training_Revive_Intro","diag_mp_trReviving_01_50_pathfinder_3p",0,"Pathfinder","",false,"","Hi Friend! I'm Pathfinder. I'm excited to fight you in the Arena, but first let me teach you some things I learned. "
"","Training_Revive_Intro_1","diag_mp_trReviving_02_50_pathfinder_3p",0,"Pathfinder","",false,"","Working together in a team is very important and very fun."
"","Training_Revive_Intro_2","diag_mp_trReviving_03_50_pathfinder_3p",0,"Pathfinder","",false,"","Here is your teammate - a Digital Utility Mock Man Intelligent Example. Or DUMMIE for short."
"","Training_Revive_Intro_3","diag_mp_trReviving_04_50_pathfinder_3p",0,"Pathfinder","",false,"","During a battle, you or your teammates can get knocked down. But don't worry, with skill, everyone can be revived. "
"","Training_Revive_Intro_4","diag_mp_trReviving_05_50_pathfinder_3p",0,"Pathfinder","",false,"","Just approach your DUMMIE and press the prompt button on your HUD to revive them."
"","Training_Revive_Intro_Complete","diag_mp_trReviving_06_50_pathfinder_3p",0,"Pathfinder","",false,"","Great! Welcome back, Dummie! "
"","Training_Tactical_1","diag_mp_trTactical_01_50_pathfinder_3p",0,"Pathfinder","",false,"","Now here's a good thing to know. Each one of us has a unique special Tactical Ability that do different things. You are Lifeline and you have a special Health Drone that distributes health to anyone next to it."
"","Training_Tactical_2","diag_mp_trTactical_02_50_pathfinder_3p",0,"Pathfinder","",false,"","Give it a try and heal up your friend. Just hit the tactical button on your HUD."
"","Training_Tactical_MoveCloser","diag_mp_trTactical_03_50_pathfinder_3p",0,"Pathfinder","",false,"","Looks like you're a little far away. Try it again a bit closer to your friend."
"","Training_Tactical_Complete","diag_mp_trTactical_04_50_pathfinder_3p",0,"Pathfinder","",false,"","Great job! Helping out your team is the best, but sometimes they die. "
"","Training_Respawn_1","diag_mp_trRespawn_01_50_pathfinder_3p",0,"Pathfinder","",false,"","Don't worry too much. You still have a chance to bring your friend back."
"","Training_Respawn_2","diag_mp_trRespawn_02_50_pathfinder_3p",0,"Pathfinder","",false,"","Approach Dummie's kill box and grab their card."
"","Training_Respawn_3","diag_mp_trRespawn_03_50_pathfinder_3p",0,"Pathfinder","",false,"","Great. You can use that card to bring back your friend back through any active Respawn Beacon Chamber."
"","Training_Respawn_4","diag_mp_trRespawn_04_50_pathfinder_3p",0,"Pathfinder","",false,"","Approach the Respawn Beacon Chamber and, when prompted, hold for activation. "
"","Training_Respawn_5","diag_mp_trRespawn_05_50_pathfinder_3p",0,"Pathfinder","",false,"","Be careful, it takes some time to contact the dropship, so you could get shot. That wouldn't be good. "
"","Training_Respawn_6","diag_mp_trRespawn_06_50_pathfinder_3p",0,"Pathfinder","",false,"","You did it. Here they come."
"","Training_Respawn_Complete","diag_mp_trRespawn_07_50_pathfinder_3p",0,"Pathfinder","",false,"","Welcome back, Dummie. "
"","Training_Ultimate_1","diag_mp_trUltimate_01_50_pathfinder_3p",0,"Pathfinder","",false,"","Here's one final item for your training. Like our Tactical Abilities tacticals, each one of us has an Ultimate Ability that you can use when it's ready. "
"","Training_Ultimate_2","diag_mp_trUltimate_02_50_pathfinder_3p",0,"Pathfinder","",false,"","As Lifeline, your Ultimate calls in a Lifeline Package that delivers all types of defensive Loot from Large Health Kits to High Tier Body Armor. "
"","Training_Ultimate_3","diag_mp_trUltimate_03_50_pathfinder_3p",0,"Pathfinder","",false,"","Looks like Dummie needs some stuff - call in your Lifeline Package to help them out."
"","Training_Ultimate_4","diag_mp_trUltimate_04_50_pathfinder_3p",0,"Pathfinder","",false,"","Here it comes."
"","Training_Ultimate_5","diag_mp_trUltimate_05_50_pathfinder_3p",0,"Pathfinder","",false,"","Approach it and open it up. See the loot. Grab what you need or and you can also Ping what your friends need."
"","Training_Ultimate_Complete","diag_mp_trUltimate_06_50_pathfinder_3p",0,"Pathfinder","",false,"","That's all for me. Great work! Remember, each one of us has different Tactical and Ultimate abilities, so give us all a try. I get to use ziplines to reach high places and move quick. "
"","Training_Complete","diag_mp_trComplete_01_50_pathfinder_3p",0,"Pathfinder","",false,"","See you in the Arena! Bye! (ALT:  ".. Wooohoo!")"
"","","",0,"","",false,"",""
"","","",0,"","",false,"",""
"","","",0,"","",false,"",""
"string","string","string","int","string","string","bool","asset_noprecache","string"
