"cmd","args","speaker","emotion","text","direction"
"PLAYSOUND","SQ_S14_LoreText_Ch05_Stinger_02 BOTTOM","","","",""
"b","","loba","angry","#S14_MISSION_05_20","l"
"","","","","",""
"t","","vantage","happy","#S14_MISSION_05_21","r"
"b","","loba","neutral","#S14_MISSION_05_22","l"
"","","","","",""
"t","","vantage","happy","#S14_MISSION_05_23","r"
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_07","","","",""
"b","","loba","happy","#S14_MISSION_05_24","l"
"","","","","",""
"t","","vantage","fearful","#S14_MISSION_05_25","r"
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_08","","","",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_LobaWalkFast","","","",""
"c","","narrator","","#S14_MISSION_05_26",""
"AMBIENTTRACK","SQ_S14_LoreText_Ch05_AMB_INT_Apartment","","","",""
"","","","","",""
"t","","vantage","fearful","#S14_MISSION_05_27","r"
"PLAYSOUND","SQ_S14_LoreText_Ch05_Stinger_03","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_09","","","",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_28",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_29",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_UnlockDoor","","","",""
"","","","","",""
"MUSICTRACK","SQ_S14_LoreText_Ch05_Music_02","","","",""
"c","","narrator","","#S14_MISSION_05_30",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_DropBagAndKeys","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_Heartbeat_drone_LP","","","",""
"c","","narrator","","#S14_MISSION_05_31",""
"","","","","",""
"MUSICTRACK","SQ_S14_LoreText_Ch05_Music_03","","","",""
"c","","narrator","","#S14_MISSION_05_32",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_HorrorHit","","","",""
"c","","narrator","","#S14_MISSION_05_33",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_34",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_PhoneRing","","","",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_35",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_10","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_Stinger_04","","","",""
"t","","loba","fearful","#S14_MISSION_05_36","r"
"b","","jaime","unconscious","#S14_MISSION_05_37","l"
"","","","","",""
"t","","vantage","surprised","#S14_MISSION_05_38","r"
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_11","","","",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_39",""
"","","","","",""
"t","","vantage","fearful","#S14_MISSION_05_40","r"
"","","","","",""
"c","","narrator","","#S14_MISSION_05_41",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_13","","","",""
"t","","loba","fearful","#S14_MISSION_05_42","r"
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_PhoneRingFadesIn","","","",""
"c","","narrator","","#S14_MISSION_05_43",""
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_LookingInBag","","","",""
"t","","vantage","happy","#S14_MISSION_05_44","r"
"","","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_SFX_AnswerPhone","","","",""
"t","","vantage","neutral","#S14_MISSION_05_45","r"
"","","","","",""
"c","","narrator","","#S14_MISSION_05_46",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_47",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_48",""
"","","","","",""
"t","","loba","sad","#S14_MISSION_05_49","r"
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_14","","","",""
"b","","jaime","eyesopen","#S14_MISSION_05_50","l"
"","","","","",""
"c","","narrator","","#S14_MISSION_05_51",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_52",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_53",""
"","","","","",""
"MUSICTRACK","SQ_S14_LoreText_Ch05_Music_04","","","",""
"t","","loba","angry","#S14_MISSION_05_54","r"
"PLAYSOUND","SQ_S14_LoreText_Ch05_VO_15","","","",""
"PLAYSOUND","SQ_S14_LoreText_Ch05_Stinger_05","","","",""
"","","","","",""
"c","","narrator","","#S14_MISSION_05_NEXT",""
"string","string","string","string","string","string"
