"cmd","args","speaker","text","emotion","direction"
"t","","horizon","#MISSION_01_12","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_04","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch01_Music_02","","","",""
"","","","","",""
"","MUSIC TURN: Ominous - a mystery is being revealed","","","",""
"","","","","",""
"t","","ash","#MISSION_01_13","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_03","","","",""
"","","","","",""
"t","","ash","#MISSION_01_14","happy","r"
"","","","","",""
"t","","ash","#MISSION_01_15","happy","r"
"","","","","",""
"t","","horizon","#MISSION_01_16","surprised","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_07","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_15","","","",""
"","","","","",""
"t","","ash","#MISSION_01_17","neutral","r"
"","","","","",""
"","MUSIC TURN: Reveal","","","",""
"","","","","",""
"t","","ash","#MISSION_01_18","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_04","","","",""
"b","","horizon","#MISSION_01_19","fearful","l"
"","","","","",""
"t","","ash","#MISSION_01_20","happy","r"
"","","","","",""
"t","","ash","#MISSION_01_21","happy","r"
"","","","","",""
"t","","ash","#MISSION_01_22","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_06","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_05","","","",""
"b","","horizon","#MISSION_01_23","surprised","l"
"","","","","",""
"t","","horizon","#MISSION_01_24","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_08","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_05","","","",""
"b","","ash","#MISSION_01_25","angry","l"
"","","","","",""
"","MUSIC TURN: Rising tension","","","",""
"","","","","",""
"t","","horizon","#MISSION_01_26","angry","r"
"MUSICTRACK","SQ_S11_LoreText_Ch01_Music_03","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_09","","","",""
"","","","","",""
"t","","horizon","#MISSION_01_27","angry","r"
"","","","","",""
"t","","ash","#MISSION_01_28","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_16","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_18 BOTTOM","","","",""
"b","","horizon","#MISSION_01_29","fearful","l"
"","","","","",""
"t","","ash","#MISSION_01_30","happy","r"
"","","","","",""
"t","","ash","#MISSION_01_31","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_06","","","",""
"","","","","",""
"t","","horizon","#MISSION_01_32","angry","r"
"","","","","",""
"t","","horizon","#MISSION_01_33","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_10","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_19","","","",""
"","","","","",""
"t","","ash","#MISSION_01_34","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_08","","","",""
"b","","horizon","#MISSION_01_35","sad","l"
"","","","","",""
"t","","horizon","#MISSION_01_36","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_20","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_21 BOTTOM","","","",""
"b","","ash","#MISSION_01_37","happy","l"
"","","","","",""
"t","","horizon","#MISSION_01_38","angry","r"
"","","","","",""
"t","","horizon","#MISSION_01_39","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_11","","","",""
"b","","ash","#MISSION_01_40","angry","l"
"","","","","",""
"t","","ash","#MISSION_01_41","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_AshWalk","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_22","","","",""
"","","","","",""
"t","","horizon","#MISSION_01_42","sad","r"
"","","","","",""
"t","","horizon","#MISSION_01_43","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_GunDraw","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_13","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_09","","","",""
"","","","","",""
"","MUSIC TURN: Explosion of anger! Climax of the scene","","","",""
"","","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_SwordDraw","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_12","","","",""
"MUSICTRACK","SQ_Music_Lobby_Silence","","","",""
"","","","","",""
"","MUSIC TURN: Sudden quiet","","","",""
"","","","","",""
"t","","ash","#MISSION_01_44","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_23","","","",""
"b","","horizon","#MISSION_01_45","angry","l"
"","","","","",""
"t","","ash","#MISSION_01_46","happy","r"
"MUSICTRACK","SQ_S11_LoreText_Ch01_Music_04","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_19","","","",""
"","","","","",""
"t","","horizon","#MISSION_01_47","fearful","r"
"","","","","",""
"t","","horizon","#MISSION_01_48","sad","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_24","","","",""
"","","","","",""
"t","","horizon","#MISSION_01_49","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_15","","","",""
"","","","","",""
"t","","ash","#MISSION_01_50","neutral","r"
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_SwordSheathe","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_14","","","",""
"","","","","",""
"t","","ash","#MISSION_01_51","happy","r"
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_AshWalk","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_VO_10","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_16","","","",""
"","","","","",""
"c","","","#MISSION_01_NEXT","",""
"string","string","string","string","string","string"
