"name","characterRef","skinRef","frameRef","stanceRef","firstBadgeRef","firstBadgeDataInteger","secondBadgeRef","secondBadgeDataInteger","thirdBadgeRef","thirdBadgeDataInteger"
"VanillaLatte99","SAID01111853120","SAID00529594028","SAID01350753561","SAID00975754104","SAID01041083132",-1,"SAID01320752838",-1,"SAID01060850123",-1
"Lyolyo","SAID01111853120","SAID00602449299","SAID00376915016","SAID00975754104","SAID00097219464",0,"SAID01320752838",-1,"SAID00501794523",-1
"czar","SAID00898565421","SAID01920478065","SAID00975204679","SAID00982377873","SAID00650330268",0,"SAID00097219464",0,"SAID01671811087",0
"Bilzac","SAID01464849662","SAID00445771024","SAID00215765500","SAID00855420037","SAID00097219464",0,"SAID01105367454",-1,"SAID00650330268",0
"D-Sus","SAID01409694078","SAID01893474113","SAID02143286677","SAID00545796048","SAID00358361967",0,"SAID01958904929",-1,"SAID00719209740",-1
"SHiZZAM","SAID00088599337","SAID01885697463","SAID00668568933","SAID01073081262","SAID00097219464",0,"SAID01041083132",-1,"SAID00685734828",-1
"davidgd18","SAID00898565421","SAID00153552110","SAID02057058469","SAID02130577181","SAID00097219464",0,"SAID00061981186",-1,"SAID02020830677",-1
"DigitalGuido604","SAID00182221730","SAID00654577661","SAID01646964811","SAID00558533496","SAID00097219464",0,"SAID01164941559",-1,"SAID01126877325",-1
"RV_Jimmy","SAID00088599337","SAID00200407993","SAID01841433457","SAID01687997794","SAID01305785150",-1,"SAID00097219464",0,"SAID02108629689",0
"RSPN_quazz","SAID00725342087","SAID01374113024","SAID01525291315","SAID00509086852","SAID01488777442",0,"SAID00097219464",0,"SAID01488777442",0
"TheSage","SAID00843405508","SAID00146085020","SAID01146306875","SAID01591926548","SAID00097219464",0,"SAID01163465131",-1,"SAID00375082475",-1
"AA_RSPN","SAID00064207844","SAID01414516689","SAID01224604534","SAID01613031704","SAID00097219464",0,"SAID01708234870",-1,"SAID01164612193",0
"Velrek","SAID00898565421","SAID00993111143","SAID01568890230","SAID00924111436","SAID00097219464",0,"SAID00650330268",0,"SAID02141092556",-1
"DanielZKlein","SAID01111853120","SAID01235946641","SAID00376915016","SAID00975754104","SAID00097219464",0,"SAID00650330268",0,"SAID01163465131",-1
"ricklesauceur","SAID00187386164","SAID01358825473","SAID00693214584","SAID01638491567","SAID00097219464",0,"SAID02144802946",0,"SAID00300105934",0
"Jacknife","SAID01579967516","SAID01481296783","SAID00495593193","SAID00183324843","SAID00097219464",0,"SAID00492685978",-1,"SAID00501794523",-1
"MaToPi_QC","SAID00187386164","SAID00196967320","SAID00172325793","SAID00348278894","SAID00097219464",0,"SAID01296454853",13,"SAID00335387731",-1
"yamp_ish","SAID01579967516","SAID01373094395","SAID02017302056","SAID02117766733","SAID00650330268",0,"SAID00909813118",-1,"SAID00778264728",-1
"Daniel_Roston","SAID00898565421","SAID01374578193","SAID01464077892","SAID01817535639","SAID00097219464",0,"SAID00259056267",-1,"SAID00501794523",-1
"THE_MAINEyAC","SAID01464849662","SAID01275526792","SAID01222496248","SAID00169454245","SAID00097219464",0,"SAID02145357846",-1,"SAID01915668564",3
"LOGEZZZZZBRO","SAID01111853120","SAID01213157726","SAID01819310843","SAID00975754104","SAID00097219464",0,"SAID00650330268",0,"SAID01060850123",-1
"[RSPN] El Sanchimoto","SAID02045656322","SAID00647541760","SAID00845401618","SAID00273241036","SAID00650330268",0,"SAID00097219464",0,"SAID00165740051",100
"jobyek","SAID01111853120","SAID00261794111","SAID00376915016","SAID01497492505","SAID00097219464",-1,"SAID01002182261",-1,"SAID01505402687",-1
"laauggie","SAID01409694078","SAID00246657144","SAID00344928455","SAID01657023826","SAID00097219464",0,"SAID01301037995",0,"SAID00650330268",0
"BrockhaurdDEV","SAID00187386164","SAID02062131334","SAID02112073909","SAID01378587114","SAID00097219464",0,"SAID02134557309",0,"SAID00650330268",0
"ITguyMitchDEV","SAID01464849662","SAID00574484250","SAID01565914956","SAID00855420037","SAID00097219464",0,"SAID00650330268",0,"SAID00357286139",0
"RobotHavGunz","SAID00088599337","SAID01073367667","SAID00137850271","SAID01073081262","SAID00097219464",0,"SAID00300105934",0,"SAID01683226272",0
"LWaldenDEV","SAID01464849662","SAID00574484250","SAID00215765500","SAID01622532602","SAID00097219464",0,"SAID00650330268",0,"SAID00357286139",0
"execfuryDEV","SAID00843405508","SAID00393974799","SAID00479789857","SAID00155868821","SAID00097219464",0,"SAID01683226272",0,"SAID00650330268",0
"HkySk8r187","SAID01409694078","SAID00493570024","SAID00100399367","SAID01657023826","SAID00097219464",0,"SAID00650330268",0,"SAID02134557309",0
"JohnnyPriapism","SAID01579967516","SAID00316953968","SAID01360245065","SAID02075237869","SAID00097219464",0,"SAID00650330268",0,"SAID00716028665",13
"Zhitao_RSPN","SAID00080232848","SAID00043148243","SAID01808006033","SAID00035124770","SAID00097219464",0,"SAID02012685013",0,"SAID00650330268",0
"RandyKnapp","SAID00843405508","SAID00627630746","SAID01757099372","SAID00718158226","SAID00097219464",0,"SAID01519787133",0,"SAID00650330268",0
"RSPN_Peters","SAID01111853120","SAID01880259295","SAID01264727822","SAID01049159812","SAID01488777442",0,"SAID01488777442",0,"SAID00097219464",0
"Paranha139","SAID00405279270","SAID01479014026","SAID01044194004","SAID00475316990","SAID00097219464",0,"SAID00153944881",-1,"SAID00626767704",-1
"lizal","SAID00898565421","SAID01291277790","SAID00354929831","SAID01648826622","SAID01774065557",37,"SAID00097219464",0,"SAID00245450466",0
"AGoldy","SAID00182221730","SAID00035842753","SAID01773748396","SAID00558533496","SAID00097219464",0,"SAID00737867156",-1,"SAID01793927468",-1
"ShinyZenMachine","SAID00080232848","SAID00043033680","SAID01787077051","SAID01850025469","SAID00650330268",0,"SAID02012685013",0,"SAID01522710712",-1
"Jello_Gladiator","SAID00405279270","SAID00321432787","SAID01726298562","SAID01448417705","SAID00097219464",0,"SAID00357286139",0,"SAID00607582592",-1
"TheMostEvile","SAID01579967516","SAID00842680927","SAID02094974449","SAID00183324843","SAID00097219464",0,"SAID01519787133",0,"SAID01292601781",0
"Red_Spider","SAID00435256162","SAID01193566283","SAID00215616017","SAID00748886582","SAID00097219464",0,"SAID00135742148",-1,"SAID01522710712",-1
"RV_CamLee","SAID00080232848","SAID00858574026","SAID00867728271","SAID01424068805","SAID00097219464",0,"SAID02012685013",0,"SAID00650330268",0
"Worst Apex Dev NA","SAID00187386164","SAID01889998062","SAID00144564377","SAID00311405232","SAID00097219464",0,"SAID02012685013",0,"SAID01292601781",0
"DangerMcD","SAID00435256162","SAID00384530178","SAID00191707670","SAID01699956173","SAID00097219464",0,"SAID01292601781",0,"SAID02012685013",0
"DocData47","SAID00088599337","SAID00255701445","SAID00785610133","SAID02057205084","SAID02108629689",0,"SAID02012685013",0,"SAID00097219464",0
"SolarTara","SAID01579967516","SAID00890168425","SAID00495593193","SAID01321549414","SAID01488777442",0,"SAID00097219464",0,"SAID01488777442",0
"ArrowGain","SAID00898565421","SAID01374578193","SAID02059064253","SAID00924111436","SAID00501794523",-1,"SAID00097219464",0,"SAID00259056267",-1
"Novakog47","SAID01464849662","SAID01922272956","SAID01190171409","SAID01749100240","SAID00097219464",0,"SAID01892292216",-1,"SAID01915668564",-1
"jan carelo","SAID00725342087","SAID01442091003","SAID02117696754","SAID00430018150","SAID00097219464",0,"SAID00733413376",-1,"SAID02108629689",0
"Nicky708","SAID00898565421","SAID02017444238","SAID01667864698","SAID02130577181","SAID00097219464",0,"SAID01292601781",0,"SAID02012685013",0
"Respawn Blue","SAID02045656322","SAID00178385753","SAID00883395488","SAID02073984399","SAID00357286139",0,"SAID00097219464",0,"SAID01163465131",-1
"Charles_Li","SAID00435256162","SAID01902938123","SAID00071854407","SAID01796819201","SAID00097219464",0,"SAID02108629689",0,"SAID01080720251",-1
"Jangzh","SAID02045656322","SAID00647541760","SAID00845401618","SAID00298389936","SAID00097219464",0,"SAID01450368797",-1,"SAID01588927887",-1
"OhaiJens","SAID00898565421","SAID00403564327","SAID01914831255","SAID00924111436","SAID00097219464",0,"SAID00948699776",-1,"SAID00259056267",-1
"Waltz","SAID01399802246","SAID01791646004","SAID01573892667","SAID01957219191","SAID00097219464",0,"SAID00276517381",-1,"SAID01519787133",0
"Kalyrical","SAID00435256162","SAID01403997962","SAID01145897124","SAID01699956173","SAID00097219464",0,"SAID02012685013",0,"SAID01519787133",0
"hachoi","SAID00435256162","SAID00730523827","SAID01145897124","SAID00775642019","SAID02012685013",0,"SAID00097219464",0,"SAID01519787133",0
"TimotronPrime","SAID01464849662","SAID01604477454","SAID01076749339","SAID01314370462","SAID00097219464",0,"SAID01683226272",0,"SAID00300105934",0
"hueldev1","SAID01464849662","SAID00574484250","SAID01104302735","SAID01955195764","SAID00097219464",0,"SAID01519787133",0,"SAID00650330268",0
"NyaNeko","SAID01409694078","SAID00796832804","SAID00344928455","SAID00181689794","SAID00097219464",0,"SAID02012685013",0,"SAID00300105934",0
"Xehn","SAID00827049897","SAID01349782031","SAID00853298425","SAID02046254916","SAID00097219464",0,"SAID01488777442",0,"SAID01488777442",0
"caltaylor","SAID01464849662","SAID00574484250","SAID00695500505","SAID00855420037","SAID00097219464",0,"SAID01519787133",0,"SAID02000265469",0
"A559SSIN","SAID00843405508","SAID01385471077","SAID00195560236","SAID01591926548","SAID00097219464",0,"SAID01721484615",-1,"SAID00498953496",-1
"[RSPN] Exgeniar","SAID02105222312","SAID01279037873","SAID01536108465","SAID01336254161","SAID00097219464",0,"SAID00245450466",1,"SAID01723649108",1
"rspn_ash","SAID00216194192","SAID00023754268","SAID00308408055","SAID01351254587","SAID01292601781",0,"SAID01416389845",-1,"SAID00979587320",-1
"Kuri_Kri","SAID01399802246","SAID00968425980","SAID01289486996","SAID00241429166","SAID00097219464",0,"SAID01041083132",-1,"SAID01301037995",0
"vixe","SAID01579967516","SAID01035466202","SAID00495593193","SAID00724806060","SAID00097219464",0,"SAID01163465131",-1,"SAID01292601781",0
"impo30","SAID00182221730","SAID00856921225","SAID01646964811","SAID00558533496","SAID02000265469",0,"SAID00097219464",0,"SAID01708234870",-1
"pariahloki","SAID00216194192","SAID01707679921","SAID01481742242","SAID00183335428","SAID00097219464",0,"SAID01826078989",-1,"SAID01519787133",0
"CptQuesarito","SAID00216194192","SAID02137590887","SAID01520041317","SAID01099496721","SAID00097219464",0,"SAID00300105934",0,"SAID00979587320",-1
"DontCallMeKelso","SAID00405279270","SAID01163495795","SAID01308307719","SAID00475316990","SAID00097219464",0,"SAID00626767704",-1,"SAID01292601781",0
"MichaelAOS","SAID00827049897","SAID00690329687","SAID00879403654","SAID02088801000","SAID00097219464",0,"SAID00784028266",0,"SAID00245450466",1
"AstuteJoe","SAID00843405508","SAID00639894721","SAID01684647106","SAID00914410572","SAID00097219464",0,"SAID01488777442",0,"SAID01488777442",0
"Goldie_Lochs","SAID01579967516","SAID01099221432","SAID00495593193","SAID01465132321","SAID00097219464",0,"SAID01228718324",-1,"SAID01744425088",-1
"neokinesis","SAID00064207844","SAID00816813520","SAID00558422772","SAID01746231646","SAID00097219464",0,"SAID01721484615",-1,"SAID01620311095",-1
"Bizbear","SAID00182221730","SAID00856921225","SAID00301427815","SAID00558533496","SAID00097219464",0,"SAID00014539498",-1,"SAID00438724913",-1
"FajitaSteve","SAID00405279270","SAID01163495795","SAID01308307719","SAID01827806460","SAID00097219464",0,"SAID02012685013",0,"SAID00650330268",0
"SUNAGNITAXAL","SAID00080232848","SAID00673409324","SAID01808006033","SAID01424068805","SAID00097219464",0,"SAID01292601781",0,"SAID00300105934",0
"RSPN_xandre3000","SAID01464849662","SAID01604477454","SAID01633729806","SAID00543164026","SAID00097219464",0,"SAID01105367454",-1,"SAID00014539498",-1
"[RSPN] ObiWanAlyssa","SAID00898565421","SAID01291277790","SAID00803179861","SAID00220291745","SAID00097219464",0,"SAID00753122924",0,"SAID00658417464",-1
"[RSPN] RoboB0b","SAID01464849662","SAID01633246478","SAID01076749339","SAID01261908739","SAID00097219464",0,"SAID01163465131",-1,"SAID00024039711",-1
"SamanthaZero","SAID00080232848","SAID00858574026","SAID01491805826","SAID01424068805","SAID00097219464",0,"SAID01519787133",0,"SAID01121362491",-1
"Guttermouth","SAID00187386164","SAID00931516891","SAID02092465520","SAID00311405232","SAID00097219464",0,"SAID01519787133",0,"SAID00650330268",0
"string","string","string","string","string","string","int","string","int","string","int"
