"cmd","args","speaker","text","emotion","direction"
"b","","ash","#MISSION_05_11","angry","l"
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_AshGlitch","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_23","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch05_Music_03","","","",""
"t","","leigh","#MISSION_05_12","fearful","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_AshGlitch BOTTOM","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_24 BOTTOM","","","",""
"b","","ash","#MISSION_05_13","angry","l"
"","","","","",""
"t","","horizon","#MISSION_05_14","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_05","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_SwordSwing","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_05","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_SwordDrop","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_GlaiveTrap","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch05_Music_04","","","",""
"c","","narrator","#MISSION_05_15","",""
"","","","","",""
"t","","horizon","#MISSION_05_16","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_07","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_08 BOTTOM","","","",""
"b","","ash","#MISSION_05_17","angry","l"
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_SwordPickup","","","",""
"c","","narrator","#MISSION_05_18","",""
"","","","","",""
"t","","ash","#MISSION_05_19","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_09","","","",""
"","","","","",""
"c","","narrator","#MISSION_05_20","",""
"","","","","",""
"c","","narrator","#MISSION_05_21","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_SwordSnap","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_SwordPieces","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch05_Music_05","","","",""
"","","","","",""
"t","","horizon","#MISSION_05_22","surprised","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_10","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_06","","","",""
"","","","","",""
"","MUSIC TURN: Crescendo","","","",""
"","","","","",""
"t","","ash","#MISSION_05_23","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_11","","","",""
"","","","","",""
"t","","ash","#MISSION_05_24","happy","r"
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_HorizonStruggle","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_ArcTrap","","","",""
"c","","narrator","#MISSION_05_25","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_WingmanReady","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch05_Music_06","","","",""
"","MUSIC TURN: Silence","","","",""
"t","","horizon","#MISSION_05_26","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_WingmanShot","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_14","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_07","","","",""
"","","","","",""
"c","","narrator","#MISSION_05_27","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_08","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch05_Music_07","","","",""
"","","","","",""
"c","","narrator","#MISSION_05_28","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_13","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_SentinelToss","","","",""
"c","","narrator","#MISSION_05_29","",""
"","","","","",""
"","MUSIC TURN: Neutral","","","",""
"","","","","",""
"t","","ash","#MISSION_05_30","fearful","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_15","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_AshGlitch","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_09 BOTTOM","","","",""
"b","","horizon","#MISSION_05_31","angry","l"
"","","","","",""
"c","","narrator","#MISSION_05_32","",""
"PLAYSOUND","SQ_S11_LoreText_Ch04_SFX_HorizonReady","","","",""
"","","","","",""
"t","","ash","#MISSION_05_33","neutral","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_16","","","",""
"","","","","",""
"c","","narrator","#MISSION_05_34","",""
"","","","","",""
"t","","ash","#MISSION_05_35","angry","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_10","","","",""
"MUSICTRACK","SQ_S11_LoreText_Ch05_Music_08","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_17 BOTTOM","","","",""
"b","","horizon","#MISSION_05_36","angry","l"
"","","","","",""
"c","","narrator","#MISSION_05_37","",""
"","","","","",""
"c","","narrator","#MISSION_05_38","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_11","","","",""
"","","","","",""
"PLAYSOUND","SQ_S11_LoreText_Ch01_SFX_AshWalk","","","",""
"t","","ash","#MISSION_05_39","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_18 BOTTOM","","","",""
"b","","horizon","#MISSION_05_40","angry","l"
"","","","","",""
"t","","ash","#MISSION_05_41","happy","r"
"PLAYSOUND","SQ_S11_LoreText_Ch05_VO_19","","","",""
"","","","","",""
"t","","ash","#MISSION_05_42","happy","r"
"","","","","",""
"c","","narrator","#MISSION_05_43","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_GunLower","","","",""
"","","","","",""
"c","","narrator","#MISSION_05_44","",""
"PLAYSOUND","SQ_S11_LoreText_Ch05_SFX_12","","","",""
"","","","","",""
"c","","","#MISSION_05_NEXT","",""
"string","string","string","string","string","string"
