"featureFlag","event","priority","blocksNextPriority","method","bodyType","alias_1p_victim_only","alias_3p_except_victim","alias_3p_attacker_only","alias_3p_except_attacker"
"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!",400,false,"!!DATA EXCLUDED!!","!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!","",""
"xx","pain",400,false,"SE_ANY","PLAYER_HUMAN_MALE","diag_efforts_hits_sp_cooper_3p_vs_1p","","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_BANSHEE","diag_mp_wraith_effort_painFire_1p","diag_mp_wraith_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_BANSHEE","diag_mp_wraith_effort_cough_1p","diag_mp_wraith_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_BANSHEE","diag_mp_wraith_effort_pain_1p","diag_mp_wraith_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_BLOODHOUND","diag_mp_bloodhound_effort_painFire_1p","diag_mp_bloodhound_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_BLOODHOUND","diag_mp_bloodhound_effort_cough_1p","diag_mp_bloodhound_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_BLOODHOUND","diag_mp_bloodhound_effort_pain_1p","diag_mp_bloodhound_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_GIBRALTER","diag_mp_gibraltar_effort_painFire_1p","diag_mp_gibraltar_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_GIBRALTER","diag_mp_gibraltar_effort_cough_1p","diag_mp_gibraltar_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_GIBRALTER","diag_mp_gibraltar_effort_pain_1p","diag_mp_gibraltar_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_LIFELINE","diag_mp_lifeline_effort_painFire_1p","diag_mp_lifeline_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_LIFELINE","diag_mp_lifeline_effort_cough_1p","diag_mp_lifeline_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_LIFELINE","diag_mp_lifeline_effort_pain_1p","diag_mp_lifeline_effort_pain_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_PATHFINDER","diag_mp_pathfinder_effort_cough_1p","diag_mp_pathfinder_effort_cough_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_PATHFINDER","diag_mp_pathfinder_effort_painFire_1p","diag_mp_pathfinder_effort_painFire_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_PATHFINDER","diag_mp_pathfinder_effort_pain_1p","diag_mp_pathfinder_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_MIRAGE","diag_mp_mirage_effort_painFire_1p","diag_mp_mirage_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_MIRAGE","diag_mp_mirage_effort_cough_1p","diag_mp_mirage_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_MIRAGE","diag_mp_mirage_effort_pain_1p","diag_mp_mirage_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_BANGALORE","diag_mp_bangalore_effort_painFire_1p","diag_mp_bangalore_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_BANGALORE","diag_mp_bangalore_effort_cough_1p","diag_mp_bangalore_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_BANGALORE","diag_mp_bangalore_effort_pain_1p","diag_mp_bangalore_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_CAUSTIC","diag_mp_caustic_effort_painFire_1p","diag_mp_caustic_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_CAUSTIC","diag_mp_caustic_effort_cough_1p","diag_mp_caustic_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_CAUSTIC","diag_mp_caustic_effort_pain_1p","diag_mp_caustic_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_OCTANE","diag_mp_octane_effort_painFire_1p","diag_mp_octane_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_OCTANE","diag_mp_octane_effort_cough_1p","diag_mp_octane_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_OCTANE","diag_mp_octane_effort_pain_1p","diag_mp_octane_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_WATTSON","diag_mp_wattson_effort_painFire_1p","diag_mp_wattson_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_WATTSON","diag_mp_wattson_effort_cough_1p","diag_mp_wattson_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_WATTSON","diag_mp_wattson_effort_pain_1p","diag_mp_wattson_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_CRYPTO","diag_mp_crypto_effort_painFire_1p","diag_mp_crypto_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_CRYPTO","diag_mp_crypto_effort_cough_1p","diag_mp_crypto_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_CRYPTO","diag_mp_crypto_effort_pain_1p","diag_mp_crypto_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_REVENANT","diag_mp_revenant_effort_painFire_1p","diag_mp_revenant_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_REVENANT","diag_mp_revenant_effort_cough_1p","diag_mp_revenant_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_REVENANT","diag_mp_revenant_effort_pain_1p","diag_mp_revenant_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_LOBA","diag_mp_loba_effort_painFire_1p","diag_mp_loba_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_LOBA","diag_mp_loba_effort_cough_1p","diag_mp_loba_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_LOBA","diag_mp_loba_effort_pain_1p","diag_mp_loba_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_RAMPART","diag_mp_rampart_effort_painFire_1p","diag_mp_rampart_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_RAMPART","diag_mp_rampart_effort_cough_1p","diag_mp_rampart_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_RAMPART","diag_mp_rampart_effort_pain_1p","diag_mp_rampart_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_HORIZON","diag_mp_horizon_effort_painFire_1p","diag_mp_horizon_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_HORIZON","diag_mp_horizon_effort_cough_1p","diag_mp_horizon_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_HORIZON","diag_mp_horizon_effort_pain_1p","diag_mp_horizon_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_FUSE","diag_mp_fuse_effort_painFire_1p","diag_mp_fuse_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_FUSE","diag_mp_fuse_effort_cough_1p","diag_mp_fuse_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_FUSE","diag_mp_fuse_effort_pain_1p","diag_mp_fuse_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_VALKYRIE","diag_mp_valkyrie_effort_painFire_1p","diag_mp_valkyrie_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_VALKYRIE","diag_mp_valkyrie_effort_cough_1p","diag_mp_valkyrie_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_VALKYRIE","diag_mp_valkyrie_effort_pain_1p","diag_mp_valkyrie_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_SEER","diag_mp_seer_effort_painFire_1p","diag_mp_seer_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_SEER","diag_mp_seer_effort_cough_1p","diag_mp_seer_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_SEER","diag_mp_seer_effort_pain_1p","diag_mp_seer_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_ASH","diag_mp_ash_effort_painFire_1p","diag_mp_ash_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_ASH","diag_mp_ash_effort_cough_1p","diag_mp_ash_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_ASH","diag_mp_ash_effort_pain_1p","diag_mp_ash_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_MADMAGGIE","diag_mp_madmaggie_effort_painFire_1p","diag_mp_madmaggie_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_MADMAGGIE","diag_mp_madmaggie_effort_cough_1p","diag_mp_madmaggie_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_MADMAGGIE","diag_mp_madmaggie_effort_pain_1p","diag_mp_madmaggie_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_NEWCASTLE","diag_mp_newcastle_effort_painFire_1p","diag_mp_newcastle_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_NEWCASTLE","diag_mp_newcastle_effort_cough_1p","diag_mp_newcastle_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_NEWCASTLE","diag_mp_newcastle_effort_pain_1p","diag_mp_newcastle_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_VANTAGE","diag_mp_vantage_effort_painFire_1p","diag_mp_vantage_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_VANTAGE","diag_mp_vantage_effort_cough_1p","diag_mp_vantage_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_VANTAGE","diag_mp_vantage_effort_pain_1p","diag_mp_vantage_effort_pain_3p","",""
"xx","pain",300,true,"SE_THERMITE_GRENADE","CLASS_CATALYST","diag_mp_catalyst_effort_painFire_1p","diag_mp_catalyst_effort_painFire_3p","",""
"xx","pain",350,true,"SE_CORROSIVE_GAS","CLASS_CATALYST","diag_mp_catalyst_effort_cough_1p","diag_mp_catalyst_effort_cough_3p","",""
"xx","pain",400,false,"SE_ANY","CLASS_CATALYST","diag_mp_catalyst_effort_pain_1p","diag_mp_catalyst_effort_pain_3p","",""
"string","string","int","bool","string","string","string","string","string","string"
