"name","alias","priority","perspective","radioDisplayName","voice","textDuration","dialogue"
"door_panels_end_nightrun_set_bunker","",10,"radio","","gibraltar",8,"#door_panels_end_nightrun_set_bunker"
"drill_planted_nightrun_set_bunker","",10,"radio","","gibraltar",8,"#drill_planted_nightrun_set_bunker"
"drill_complete_nightrun_set_bunker","",10,"radio","","gibraltar",6,"#drill_complete_nightrun_set_bunker"
"get_to_evac_nightrun_set_bunker","",10,"radio","","gibraltar",6,"#get_to_evac_nightrun_set_bunker"
"","",0,"","","",0,""
"flyin_nightrun_set_pit","",10,"radio","","lifeline",8,"#flyin_nightrun_set_pit"
"drill_planted_nightrun_set_pit","",10,"radio","","lifeline",8,"#drill_planted_nightrun_set_pit"
"drill_complete_nightrun_set_pit","",10,"radio","","lifeline",6,"#drill_complete_nightrun_set_pit"
"get_to_evac_nightrun_set_pit","",10,"radio","","lifeline",6,"#get_to_evac_nightrun_set_pit"
"","",0,"","","",0,""
"flyin_nightrun_set_skulltown","",10,"radio","","mirage",6.5,"#flyin_nightrun_set_skulltown"
"wave1_nightrun_set_skulltown","",10,"radio","","mirage",8,"#wave1_nightrun_set_skulltown"
"drill_planted_nightrun_set_skulltown","",10,"radio","","mirage",8,"#drill_planted_nightrun_set_skulltown"
"drill_complete_nightrun_set_skulltown","",10,"radio","","mirage",6,"#drill_complete_nightrun_set_skulltown"
"get_to_evac_nightrun_set_skulltown","",10,"radio","","mirage",6,"#get_to_evac_nightrun_set_skulltown"
"","",0,"","","",0,""
"flyin_nightrun_set_leviathan_caves","",10,"radio","","wraith",6.5,"#flyin_nightrun_set_leviathan_caves"
"killcount_start_nightrun_set_leviathan_caves","",10,"radio","","wraith",8,"#killcount_start_nightrun_set_leviathan_caves"
"killcount_done_nightrun_set_leviathan_caves","",10,"radio","","wraith",8,"#killcount_done_nightrun_set_leviathan_caves"
"drill_planted_nightrun_set_leviathan_caves","",10,"radio","","wraith",8,"#drill_planted_nightrun_set_leviathan_caves"
"drill_complete_nightrun_set_leviathan_caves","",10,"radio","","wraith",6,"#drill_complete_nightrun_set_leviathan_caves"
"get_to_evac_nightrun_set_leviathan_caves","",10,"radio","","wraith",6,"#get_to_evac_nightrun_set_leviathan_caves"
"","",0,"","","",0,""
"flyin_nightrun_set_swamps","",10,"radio","","revenant_shadow",6.5,"#flyin_nightrun_set_swamps"
"totem_absorb_start_nightrun_set_swamps","",10,"radio","","revenant_shadow",8,"#totem_absorb_start_nightrun_set_swamps"
"totem_absorb_one_remaining_nightrun_set_swamps","",10,"radio","","revenant_shadow",8,"#totem_absorb_one_remaining_nightrun_set_swamps"
"totem_absorb_end_nightrun_set_swamps","",10,"radio","","revenant_shadow",8,"#totem_absorb_end_nightrun_set_swamps"
"drill_planted_nightrun_set_swamps","",11,"radio","","revenant_shadow",6,"#drill_planted_nightrun_set_swamps"
"drill_complete_nightrun_set_swamps","",12,"radio","","revenant_shadow",6,"#drill_complete_nightrun_set_swamps"
"get_to_evac_nightrun_set_swamps","",10,"radio","","revenant_shadow",8,"#get_to_evac_nightrun_set_swamps"
"","",0,"","","",0,""
"s5_10_intro1","",10,"radio","","loba",5,"#s5_10_intro1"
"s5_10_intro2","",10,"radio","","loba",5,"#s5_10_intro2"
"s5_10_hatch1","",10,"radio","","loba",5,"#s5_10_hatch1"
"s5_10_hatch2","",10,"radio","","loba",5,"#s5_10_hatch2"
"s5_10_hatch3","",10,"radio","","loba",5,"#s5_10_hatch3"
"s5_10_hatch4","",10,"radio","","loba",8,"#s5_10_hatch4"
"s5_10_hatch5","",10,"radio","","revenant",6,"#s5_10_hatch5"
"s5_10_hatch6","",10,"radio","","loba",5,"#s5_10_hatch6"
"s5_10_inside1","",10,"radio","","loba",5,"#s5_10_inside1"
"s5_10_inside2","",10,"radio","","loba",5,"#s5_10_inside2"
"s5_10_inside3","",10,"radio","","loba",5,"#s5_10_inside3"
"s5_10_toofar1","",10,"radio","","loba",7,"#s5_10_toofar1"
"s5_10_toofar2","",10,"radio","","loba",7,"#s5_10_toofar2"
"string","string","int","string","string","string","float","string"
