"featureFlag","weaponRef","startingAmmo","cost","attachments","availableOptics"
"","mp_weapon_alternator_smg",240,1000,"crate hopup_shield_breaker optic_cq_threat bullets_mag_l4 barrel_stabilizer_l4_flash_hider stock_tactical_l3","optic_cq_hcog_classic optic_cq_holosight optic_cq_hcog_bruiser optic_cq_holosight_variable optic_cq_threat"
"","mp_weapon_mastiff",64,350,"",""
"","mp_weapon_mastiff_whiteset",64,150,"whiteset optic_cq_hcog_classic shotgun_bolt_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_mastiff_blueset",64,250,"blueset optic_cq_hcog_classic shotgun_bolt_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_mastiff_purpleset",64,300,"purpleset optic_cq_threat shotgun_bolt_l3 hopup_dual_loader","optic_cq_threat"
"","mp_weapon_mastiff_gold",64,111,"gold_paintball optic_cq_threat shotgun_bolt_l3 hopup_dual_loader",""
"","mp_weapon_energy_shotgun",64,350,"hopup_energy_choke choke",""
"","mp_weapon_energy_shotgun_whiteset",64,150,"whiteset hopup_energy_choke choke optic_cq_hcog_classic shotgun_bolt_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_energy_shotgun_blueset",64,250,"blueset hopup_energy_choke choke optic_cq_hcog_classic shotgun_bolt_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_energy_shotgun_purpleset",64,300,"purpleset hopup_energy_choke choke optic_cq_threat shotgun_bolt_l3","optic_cq_threat"
"","mp_weapon_energy_shotgun_gold",64,40,"gold hopup_energy_choke choke optic_cq_threat shotgun_bolt_l3",""
"","mp_weapon_volt_smg",240,550,"",""
"","mp_weapon_volt_smg_whiteset",240,150,"whiteset optic_cq_hcog_classic energy_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_volt_smg_blueset",240,250,"blueset optic_cq_hcog_bruiser energy_mag_l2 barrel_stabilizer_l2 stock_tactical_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_volt_smg_purpleset",240,300,"purpleset optic_cq_threat energy_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","optic_cq_threat"
"","mp_weapon_volt_smg_gold",240,50,"gold optic_cq_threat energy_mag_l4 barrel_stabilizer_l4_flash_hider stock_tactical_l3",""
"","mp_weapon_pdw",240,400,"",""
"","mp_weapon_pdw_whiteset",240,200,"whiteset optic_cq_hcog_classic highcal_mag_l1 stock_tactical_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_pdw_blueset",240,350,"blueset optic_cq_hcog_bruiser highcal_mag_l2 stock_tactical_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_pdw_purpleset",240,350,"purpleset optic_cq_threat highcal_mag_l3 stock_tactical_l3","optic_cq_threat"
"","mp_weapon_pdw_gold",240,111,"gold_paintball optic_cq_threat highcal_mag_l4 stock_tactical_l3",""
"","mp_weapon_r97",240,450,"",""
"","mp_weapon_r97_whiteset",240,150,"whiteset optic_cq_hcog_classic bullets_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_r97_blueset",240,300,"blueset optic_cq_hcog_classic bullets_mag_l2 barrel_stabilizer_l2 stock_tactical_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_r97_purpleset",240,350,"purpleset optic_cq_threat bullets_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","optic_cq_threat"
"","mp_weapon_r97_gold",240,111,"gold_paintball optic_cq_threat bullets_mag_l4 barrel_stabilizer_l4_flash_hider stock_tactical_l3",""
"","mp_weapon_car",240,550,"",""
"","mp_weapon_car_whiteset",240,200,"whiteset optic_cq_hcog_classic highcal_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_car_blueset",240,250,"blueset optic_cq_hcog_classic highcal_mag_l2 barrel_stabilizer_l2 stock_tactical_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_car_purpleset",240,350,"purpleset optic_cq_threat highcal_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","optic_cq_threat"
"","mp_weapon_lmg",300,1000,"crate optic_cq_hcog_bruiser highcal_mag_l4 barrel_stabilizer_l4_flash_hider stock_tactical_l3","optic_cq_hcog_classic optic_cq_holosight optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_esaw",300,450,"",""
"","mp_weapon_esaw_whiteset",300,150,"whiteset optic_cq_hcog_classic energy_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_esaw_blueset",300,250,"blueset optic_cq_hcog_bruiser energy_mag_l2 barrel_stabilizer_l2 stock_tactical_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_esaw_purpleset",300,400,"purpleset hopup_turbocharger optic_cq_hcog_bruiser energy_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_esaw_gold",300,1100,"gold hopup_turbocharger optic_cq_hcog_bruiser energy_mag_l4 barrel_stabilizer_l4_flash_hider stock_tactical_l3",""
"","mp_weapon_lstar",240,600,"",""
"","mp_weapon_lstar_whiteset",240,200,"whiteset optic_cq_hcog_classic stock_tactical_l1 energy_mag_l1 barrel_stabilizer_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_lstar_blueset",240,250,"blueset optic_cq_hcog_bruiser stock_tactical_l2 energy_mag_l2 barrel_stabilizer_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_lstar_purpleset",240,350,"purpleset optic_cq_hcog_bruiser stock_tactical_l3 energy_mag_l3 barrel_stabilizer_l3","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_lstar_gold",240,111,"gold optic_cq_hcog_bruiser stock_tactical_l3 energy_mag_l4 barrel_stabilizer_l3",""
"","mp_weapon_dragon_lmg",300,500,"",""
"","mp_weapon_dragon_lmg_whiteset",300,200,"whiteset optic_cq_hcog_classic barrel_stabilizer_l1 stock_tactical_l1 highcal_mag_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_dragon_lmg_blueset",300,300,"blueset optic_cq_hcog_bruiser barrel_stabilizer_l2 stock_tactical_l2 highcal_mag_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_dragon_lmg_purpleset",300,350,"purpleset optic_cq_hcog_bruiser barrel_stabilizer_l3 stock_tactical_l3 highcal_mag_l3","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_dragon_lmg_gold",300,111,"gold_paintball optic_cq_hcog_bruiser highcal_mag_l4 barrel_stabilizer_l3 stock_tactical_l3",""
"","mp_weapon_energy_ar",240,350,"",""
"","mp_weapon_energy_ar_whiteset",240,200,"whiteset optic_cq_hcog_classic energy_mag_l1 stock_tactical_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_energy_ar_blueset",240,250,"blueset optic_cq_hcog_bruiser energy_mag_l2 stock_tactical_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_energy_ar_purpleset",240,400,"purpleset hopup_turbocharger optic_cq_hcog_bruiser energy_mag_l3 stock_tactical_l3","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_energy_ar_gold",240,111,"gold hopup_turbocharger optic_cq_hcog_bruiser energy_mag_l4 stock_tactical_l3",""
"","mp_weapon_vinson",240,550,"",""
"","mp_weapon_vinson_whiteset",240,200,"whiteset optic_cq_hcog_classic highcal_mag_l1 stock_tactical_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_vinson_blueset",240,250,"blueset optic_cq_hcog_bruiser highcal_mag_l2 stock_tactical_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_vinson_purpleset",240,350,"purpleset optic_cq_hcog_bruiser highcal_mag_l3 stock_tactical_l3","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_vinson_gold",240,111,"gold_paintball optic_cq_hcog_bruiser highcal_mag_l4 stock_tactical_l3",""
"","mp_weapon_hemlok",240,450,"",""
"","mp_weapon_hemlok_whiteset",240,150,"whiteset optic_cq_hcog_classic highcal_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_hemlok_blueset",240,250,"blueset optic_cq_hcog_bruiser highcal_mag_l2 barrel_stabilizer_l2 stock_tactical_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_hemlok_purpleset",240,350,"purpleset hopup_smart_reload optic_cq_hcog_bruiser highcal_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_hemlok_gold",240,111,"gold_paintball optic_cq_hcog_bruiser highcal_mag_l4 barrel_stabilizer_l4_flash_hider stock_tactical_l3",""
"","mp_weapon_rspn101",240,600,"",""
"","mp_weapon_rspn101_whiteset",240,200,"whiteset optic_cq_hcog_classic bullets_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_rspn101_blueset",240,350,"blueset optic_cq_hcog_bruiser bullets_mag_l2 barrel_stabilizer_l2 stock_tactical_l2","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_rspn101_purpleset",240,350,"purpleset optic_cq_hcog_bruiser bullets_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_rspn101_gold",240,111,"gold_paintball optic_cq_hcog_bruiser bullets_mag_l4 barrel_stabilizer_l4_flash_hider stock_tactical_l3",""
"","mp_weapon_3030",180,400,"optic_cq_hcog_classic","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_3030_whiteset",180,150,"whiteset optic_cq_hcog_bruiser highcal_mag_l1 stock_sniper_l1","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_3030_blueset",180,300,"blueset optic_ranged_aog_variable highcal_mag_l2 stock_sniper_l2 hopup_shatter_rounds","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_3030_purpleset",180,200,"purpleset optic_ranged_aog_variable highcal_mag_l3 stock_sniper_l3 hopup_dual_loader",""
"","mp_weapon_3030_gold",180,111,"gold_paintball optic_ranged_aog_variable highcal_mag_l4 stock_sniper_l3 hopup_dual_loader",""
"","mp_weapon_bow",64,500,"",""
"","mp_weapon_bow_whiteset",64,150,"whiteset optic_cq_hcog_classic","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_bow_blueset",64,250,"blueset optic_cq_hcog_bruiser hopup_shatter_rounds","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_bow_purpleset",64,300,"purpleset optic_cq_hcog_bruiser hopup_shatter_rounds hopup_marksmans_tempo","optic_ranged_hcog"
"","mp_weapon_bow_gold",64,111,"gold optic_cq_holosight_variable hopup_shatter_rounds hopup_marksmans_tempo",""
"","mp_weapon_dmr",48,400,"optic_cq_hcog_classic","optic_cq_hcog_classic"
"","mp_weapon_dmr_whiteset",48,250,"whiteset optic_cq_hcog_bruiser sniper_mag_l1 barrel_stabilizer_l1 stock_sniper_l1","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_sniper"
"","mp_weapon_dmr_blueset",48,300,"blueset optic_ranged_aog_variable sniper_mag_l2 barrel_stabilizer_l2 stock_sniper_l2","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_dmr_purpleset",48,400,"purpleset optic_ranged_aog_variable sniper_mag_l3 barrel_stabilizer_l3 stock_sniper_l3","optic_sniper_variable optic_sniper_threat"
"","mp_weapon_dmr_gold",48,111,"gold_paintball optic_sniper_threat sniper_mag_l4 barrel_stabilizer_l4_flash_hider stock_sniper_l3",""
"","mp_weapon_sentinel",48,400,"optic_cq_hcog_classic","optic_cq_hcog_classic"
"","mp_weapon_sentinel_whiteset",48,250,"whiteset optic_cq_hcog_bruiser sniper_mag_l1 stock_sniper_l1","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_sniper"
"","mp_weapon_sentinel_blueset",48,300,"blueset optic_ranged_aog_variable sniper_mag_l2 stock_sniper_l2","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_sentinel_purpleset",48,400,"purpleset hopup_marksmans_tempo optic_ranged_aog_variable sniper_mag_l3 stock_sniper_l3","optic_sniper_variable optic_sniper_threat"
"","mp_weapon_sentinel_gold",48,45,"gold hopup_marksmans_tempo optic_sniper_threat sniper_mag_l4 stock_sniper_l3",""
"","mp_weapon_doubletake",48,600,"hopup_energy_choke choke optic_cq_hcog_classic","optic_cq_hcog_classic optic_cq_holosight"
"","mp_weapon_doubletake_whiteset",48,250,"whiteset hopup_energy_choke choke optic_cq_hcog_bruiser energy_mag_l1 stock_sniper_l1","optic_cq_hcog_bruiser optic_cq_holosight_variable"
"","mp_weapon_doubletake_blueset",48,300,"blueset hopup_energy_choke choke optic_ranged_aog_variable energy_mag_l2 stock_sniper_l2","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_doubletake_purpleset",48,400,"purpleset hopup_energy_choke choke optic_ranged_aog_variable energy_mag_l3 stock_sniper_l3",""
"","mp_weapon_doubletake_gold",48,111,"gold hopup_energy_choke optic_ranged_aog_variable energy_mag_l4 stock_sniper_l3",""
"","mp_weapon_defender",64,600,"optic_cq_hcog_classic","optic_cq_hcog_classic"
"","mp_weapon_defender_whiteset",64,200,"whiteset optic_cq_hcog_bruiser stock_sniper_l1","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_sniper"
"","mp_weapon_defender_blueset",64,200,"blueset optic_ranged_aog_variable stock_sniper_l2","optic_ranged_hcog optic_ranged_aog_variable"
"","mp_weapon_defender_purpleset",64,450,"purpleset optic_ranged_aog_variable stock_sniper_l3","optic_sniper_variable optic_sniper_threat"
"","mp_weapon_defender_gold",64,111,"gold optic_sniper_threat stock_sniper_l3",""
"string","string","int","int","string","string"
